#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
57,Nexus,NXS,"$26,700,577",$0.538045,"49,625,175","$213,243",6.56%,13.93%,23.02%
58,Wings,WINGS,"$25,062,086",$0.279373,"89,708,333*","$387,175",0.60%,2.88%,42.22%
59,Edgeless,EDG,"$24,894,385",$0.316509,"78,653,008*","$1,343,000",1.15%,13.76%,116.94%
60,Gulden,NLG,"$24,735,468",$0.071481,"346,043,045**","$209,809",3.39%,3.45%,44.73%
61,Xaurum,XAUR,"$23,504,205",$0.206713,"113,704,533*","$138,672",-0.66%,14.94%,7.91%
62,NAV Coin,NAV,"$23,460,128",$0.384181,"61,065,300*","$1,093,110",-0.32%,9.53%,30.57%
63,TokenCard,TKN,"$22,707,870",$0.960405,"23,644,056*","$808,327",2.82%,-20.29%,40.61%
64,Burst,BURST,"$22,439,710",$0.012646,"1,774,493,282","$1,542,940",2.75%,-0.67%,49.91%
65,BitBay,BAY,"$22,347,095",$0.022181,"1,007,506,356*","$193,227",3.19%,-0.40%,45.58%
66,Humaniq,HMQ,"$22,229,167",$0.192000,"115,776,911*","$1,776,520",0.64%,23.61%,338.35%
67,PotCoin,POT,"$21,799,872",$0.100526,"216,858,050","$545,079",-0.59%,2.47%,27.34%
68,Infinitecoin,IFC,"$21,553,488",$0.000238,"90,596,274,910","$15,330,600",2.20%,-3.40%,568.58%
69,Matchpool,GUP,"$21,243,450",$0.283246,"75,000,000*","$628,553",5.50%,12.88%,75.26%
70,BlackCoin,BLK,"$20,933,123",$0.274887,"76,151,738*","$1,771,780",3.18%,5.14%,56.37%
71,Expanse,EXP,"$20,782,139",$2.90,"7,170,532","$1,161,640",9.17%,19.91%,54.38%
72,Verge,XVG,"$19,893,891",$0.001484,"13,409,472,280","$3,273,940",5.91%,50.42%,853.28%
73,MergeCoin,MGC,"$18,352,943",$0.187186,"98,046,560*","$9,406,150",7.93%,45.39%,160.15%
74,BCAP,BCAP,"$17,781,100",$1.78,"10,000,000*","$132,367",-0.10%,-2.20%,-13.78%
75,LBRY Credits,LBC,"$17,730,858",$0.258752,"68,524,524","$1,236,080",0.94%,5.29%,65.19%
76,Etheroll,DICE,"$17,478,921",$2.50,"7,001,623*","$62,001",0.34%,14.93%,210.67%
77,Pepe Cash,PEPECASH,"$17,247,817",$0.024574,"701,884,009*","$356,402",-0.46%,8.62%,143.07%
78,ZCoin,XZC,"$17,122,733",$7.89,"2,171,159","$2,451,270",1.85%,-1.78%,45.44%
79,MonaCoin,MONA,"$15,999,918",$0.319116,"50,138,250","$91,691",-1.28%,7.00%,46.99%
80,FedoraCoin,TIPS,"$15,823,364",$0.000036,"443,168,182,458","$355,194",5.96%,13.16%,277.24%
81,Ubiq,UBQ,"$15,811,105",$0.427010,"37,027,482","$276,315",9.22%,26.98%,54.69%
82,Clams,CLAM,"$15,732,249",$6.88,"2,287,818*","$1,166,840",0.04%,9.87%,68.16%
83,GridCoin,GRC,"$15,643,540",$0.040079,"390,312,753","$322,213",1.76%,9.02%,47.22%
84,Nexium,NXC,"$15,476,779",$0.232658,"66,521,586*","$630,958",1.69%,16.44%,69.36%
85,Agoras Tokens,AGRS,"$15,435,084",$0.367502,"42,000,000*","$2,971",0.57%,8.01%,11.77%
86,Radium,RADS,"$15,149,791",$4.68,"3,237,474*","$616,717",2.56%,17.26%,39.24%
87,I/O Coin,IOC,"$15,112,871",$0.925224,"16,334,283*","$69,232",2.67%,9.09%,37.99%
88,Blocknet,BLOCK,"$14,908,492",$3.81,"3,910,516*","$43,568",0.08%,14.67%,115.17%
89,OBITS,OBITS,"$14,867,297",$1.20,"12,340,361*","$163,906",0.96%,40.60%,200.09%
90,Bankcoin,B@,"$14,671,534",$3.44,"4,265,080*","$46,373",0.10%,-6.63%,58.40%
91,Vertcoin,VTC,"$14,347,561",$0.429108,"33,435,780","$1,108,620",1.25%,6.64%,30.14%
92,Swarm City,SWT,"$14,195,054",$2.23,"6,376,934*","$89,862",-1.00%,-6.62%,28.56%
93,Chronobank,TIME,"$14,164,407",$19.95,"710,113*","$620,365",2.24%,-3.68%,6.84%
94,Omni,OMNI,"$14,062,022",$25.16,"558,913*","$140,730",4.87%,4.10%,103.03%
95,SuperNET,UNITY,"$12,436,525",$15.24,"816,061*","$1,004",1.87%,43.63%,127.23%
96,TaaS,TAAS,"$12,255,740",$1.50,"8,146,001*","$267,749",4.55%,24.23%,65.03%
97,Primecoin,XPM,"$12,169,225",$0.632710,"19,233,496","$2,850,630",5.39%,2.96%,91.64%
98,HEAT,HEAT,"$12,125,300",$0.463408,"26,165,496*","$10,921",4.06%,22.67%,88.43%
99,LuckChain,BASH,"$12,123,824",$0.016754,"723,650,524","$16,928",-19.05%,38.63%,376.05%
100,E-coin,ECN,"$11,587,773",$4.33,"2,677,861","$11,879",0.51%,-4.51%,12.76%
101,DigitalNote,XDN,"$11,561,981",$0.001680,"6,880,820,979","$1,751,620",3.66%,33.84%,405.30%
102,Viacoin,VIA,"$11,490,087",$0.507815,"22,626,522","$305,921",1.02%,-4.13%,58.09%
103,Bitcrystals,BCY,"$11,482,322",$0.492935,"23,293,785*","$190,927",0.56%,2.75%,15.90%
104,Pascal Coin,PASC,"$11,366,052",$1.17,"9,697,500","$730,333",25.96%,46.53%,99.48%
105,vSlice,VSL,"$11,315,672",$0.338889,"33,390,496*","$1,011,590",0.53%,2.80%,26.60%
106,Waves Communi...,WCT,"$11,104,350",$2.22,"5,000,000*","$70,530",12.71%,17.83%,52.24%
107,VPNCoin,VASH,"$10,986,444",$0.027443,"400,339,746*","$3,451,930",1.59%,-2.23%,56.44%
108,Golos,GOLOS,"$10,246,366",$0.083471,"122,754,193","$47,654",9.52%,12.16%,170.54%
109,Creditbit,CRB,"$10,146,086",$0.801981,"12,651,280","$320,545",-0.14%,-10.41%,-4.67%
